p_data,p_cnot,p_measurement,p_recovery,seed,effective_qec1,effective_qec3,unprotected_accuracy,qec1_accuracy,qec3_accuracy,unprotected_macro_f1,qec1_macro_f1,qec3_macro_f1,unprotected_seconds,qec1_seconds,qec3_seconds
0.0,0.005,0.01,0.005,42,0.005105999764055014,0.006149999797344208,0.9143,0.8846,0.8598,0.9146426842076639,0.8863120822995135,0.8613034116757943,0.16944646835327148,0.6437888145446777,0.716754674911499
0.0,0.005,0.01,0.005,43,0.005105999764055014,0.006149999797344208,0.9143,0.8829,0.8576,0.9146426842076639,0.8845909729128699,0.8594345370050265,0.16977548599243164,0.6439323425292969,0.6653554439544678
0.0,0.005,0.01,0.005,44,0.005105999764055014,0.006149999797344208,0.9143,0.8847,0.8608,0.9146426842076639,0.8865011307277129,0.8627511969597494,0.16927766799926758,0.643049955368042,0.6650710105895996
0.0,0.005,0.01,0.005,45,0.005105999764055014,0.006149999797344208,0.9143,0.8858,0.8595,0.9146426842076639,0.8877635618948092,0.8609983942579926,0.16919207572937012,0.6433711051940918,0.664888858795166
0.0,0.005,0.01,0.005,46,0.005105999764055014,0.006149999797344208,0.9143,0.8822,0.8577,0.9146426842076639,0.8840464699337746,0.8593428707950419,0.16946744918823242,0.6430997848510742,0.6654596328735352
0.001,0.005,0.01,0.005,1042,0.005336000118404627,0.00620400020852685,0.9131,0.8779,0.8601,0.9135790885114601,0.879928532747272,0.8619843670726917,0.6194581985473633,0.6435909271240234,0.6649692058563232
0.001,0.005,0.01,0.005,1043,0.005336000118404627,0.00620400020852685,0.9131,0.884,0.8588,0.9135999557774642,0.8858734251629483,0.8603399911424834,0.6193609237670898,0.6435484886169434,0.6646761894226074
0.001,0.005,0.01,0.005,1044,0.005336000118404627,0.00620400020852685,0.9132,0.8851,0.8583,0.9137232680053714,0.8869056834833049,0.8599398416041442,0.678687334060669,0.6437315940856934,0.6649103164672852
0.001,0.005,0.01,0.005,1045,0.005336000118404627,0.00620400020852685,0.9128,0.8797,0.8586,0.913295006722777,0.8815411905729051,0.8598808449806041,0.6192026138305664,0.6433439254760742,0.6648457050323486
0.001,0.005,0.01,0.005,1046,0.005336000118404627,0.00620400020852685,0.9125,0.8828,0.8553,0.9130369551825744,0.884548959209482,0.8569820396108195,0.6194348335266113,0.6477258205413818,0.666196346282959
0.002,0.005,0.01,0.005,2042,0.005437999963760376,0.0061980001628398895,0.9114,0.8766,0.8542,0.9121193925881546,0.878447002420741,0.8558501542101895,0.6191604137420654,0.6436049938201904,0.6647717952728271
0.002,0.005,0.01,0.005,2043,0.005437999963760376,0.0061980001628398895,0.9098,0.8823,0.8577,0.9105698830999158,0.8841628019636694,0.859590725505155,0.6193850040435791,0.6436624526977539,0.6645221710205078
0.002,0.005,0.01,0.005,2044,0.005437999963760376,0.0061980001628398895,0.9122,0.8813,0.8545,0.912923384526863,0.8832548717362089,0.8561618100886375,0.6190094947814941,0.644188642501831,0.6663210391998291
0.002,0.005,0.01,0.005,2045,0.005437999963760376,0.0061980001628398895,0.9105,0.881,0.8564,0.9112204483487123,0.882809618450944,0.8581380770494624,0.6194822788238525,0.6435790061950684,0.6644237041473389
0.002,0.005,0.01,0.005,2046,0.005437999963760376,0.0061980001628398895,0.9093,0.8807,0.8597,0.9100096688991078,0.8825165457071444,0.8613036398973175,0.6699628829956055,0.6433768272399902,0.6652569770812988
0.005,0.005,0.01,0.005,3042,0.005528000183403492,0.006444000173360109,0.8883,0.8747,0.8488,0.8900273080284145,0.8767111249511779,0.8499488956029111,0.6192395687103271,0.6431748867034912,0.6659235954284668
0.005,0.005,0.01,0.005,3043,0.005528000183403492,0.006444000173360109,0.8883,0.8757,0.8534,0.8899350314534159,0.8775732133926484,0.8548054711626873,0.6192114353179932,0.6434221267700195,0.6643412113189697
0.005,0.005,0.01,0.005,3044,0.005528000183403492,0.006444000173360109,0.8887,0.8759,0.8517,0.8903143710631098,0.877714368321486,0.8533584033822121,0.6190297603607178,0.6451776027679443,0.6648373603820801
0.005,0.005,0.01,0.005,3045,0.005528000183403492,0.006444000173360109,0.889,0.8725,0.8507,0.8907700585644045,0.8744051425942942,0.8525022545273251,0.6189234256744385,0.6435546875,0.6652534008026123
0.005,0.005,0.01,0.005,3046,0.005528000183403492,0.006444000173360109,0.8892,0.8737,0.852,0.8908747340583455,0.8755456828666679,0.8533794626732514,0.6191699504852295,0.6433937549591064,0.6646461486816406
0.01,0.005,0.01,0.005,4042,0.00609799986705184,0.006920000072568655,0.7077,0.8623,0.8429,0.6951110694322848,0.8639710758564212,0.8438820758086102,0.6198441982269287,0.6435050964355469,0.6648507118225098
0.01,0.005,0.01,0.005,4043,0.00609799986705184,0.006920000072568655,0.7093,0.8636,0.8411,0.6973774412513288,0.865229888436047,0.8418346120023086,0.6737551689147949,0.6438524723052979,0.6652312278747559
0.01,0.005,0.01,0.005,4044,0.00609799986705184,0.006920000072568655,0.706,0.8627,0.8407,0.6941928175517251,0.8646187081544469,0.8417821450818584,0.6195831298828125,0.6437721252441406,0.6649169921875
0.01,0.005,0.01,0.005,4045,0.00609799986705184,0.006920000072568655,0.7043,0.8605,0.8375,0.6914906193240258,0.8626110670670137,0.8385524549289534,0.6189649105072021,0.6434402465820312,0.6648027896881104
0.01,0.005,0.01,0.005,4046,0.00609799986705184,0.006920000072568655,0.71,0.8636,0.8437,0.6972383551021958,0.8654197271443799,0.844963129496527,0.6191391944885254,0.6430306434631348,0.6660680770874023
0.02,0.005,0.01,0.005,5042,0.0076299998909235,0.007887999527156353,0.3784,0.8109,0.7992,0.321948015593727,0.8100230113059752,0.7979282821467628,0.6200053691864014,0.6432285308837891,0.6661574840545654
0.02,0.005,0.01,0.005,5043,0.0076299998909235,0.007887999527156353,0.3741,0.8088,0.7976,0.3137880058395298,0.8078090273032524,0.7956379693283553,0.6192328929901123,0.6442732810974121,0.6646888256072998
0.02,0.005,0.01,0.005,5044,0.0076299998909235,0.007887999527156353,0.3727,0.8126,0.7929,0.3150821608487406,0.811895993118531,0.7904998490258157,0.6189250946044922,0.7003588676452637,0.6660716533660889
0.02,0.005,0.01,0.005,5045,0.0076299998909235,0.007887999527156353,0.375,0.8145,0.7956,0.3189294106619865,0.8146526417366091,0.7943699301749253,0.6194264888763428,0.6433262825012207,0.6647570133209229
0.02,0.005,0.01,0.005,5046,0.0076299998909235,0.007887999527156353,0.3781,0.8118,0.7965,0.319518625312657,0.8109626603268529,0.7948210702443635,0.6195242404937744,0.6441256999969482,0.6647229194641113
0.05,0.005,0.01,0.005,6042,0.015503999777138233,0.014613999985158443,0.2036,0.4958,0.5079,0.14060438671043382,0.4521948069728457,0.4684817467120245,0.6190886497497559,0.6434922218322754,0.6644935607910156
