physical_depolarizing_p,seed,logical_I_probability,logical_X_probability,logical_Y_probability,logical_Z_probability,logical_error_probability,unprotected_accuracy,five_qubit_accuracy,unprotected_macro_f1,five_qubit_macro_f1,unprotected_seconds,five_qubit_seconds
0.0,42,1.0,0.0,0.0,0.0,0.0,0.9143,0.9143,0.9146426842076639,0.9146426842076639,0.0,0.0
0.0,43,1.0,0.0,0.0,0.0,0.0,0.9143,0.9143,0.9146426842076639,0.9146426842076639,0.0,0.0
0.0,44,1.0,0.0,0.0,0.0,0.0,0.9143,0.9143,0.9146426842076639,0.9146426842076639,0.0,0.0
0.0,45,1.0,0.0,0.0,0.0,0.0,0.9143,0.9143,0.9146426842076639,0.9146426842076639,0.0,0.0
0.0,46,1.0,0.0,0.0,0.0,0.0,0.9143,0.9143,0.9146426842076639,0.9146426842076639,0.0,0.0
0.001,1042,0.9999900222044492,3.325931850271616e-06,3.3259318502716163e-06,3.3259318502716163e-06,9.977795550786261e-06,0.9136,0.9143,0.9141309909062219,0.9146467371902443,1.0063109397888184,0.9875264167785645
0.001,1043,0.9999900222044492,3.325931850271616e-06,3.3259318502716163e-06,3.3259318502716163e-06,9.977795550786261e-06,0.9133,0.9143,0.9138283441276487,0.9146426842076639,0.9571077823638916,0.9861831665039062
0.001,1044,0.9999900222044492,3.325931850271616e-06,3.3259318502716163e-06,3.3259318502716163e-06,9.977795550786261e-06,0.9133,0.9143,0.9137757567366164,0.9146426842076639,0.9557662010192871,0.9872603416442871
0.001,1045,0.9999900222044492,3.325931850271616e-06,3.3259318502716163e-06,3.3259318502716163e-06,9.977795550786261e-06,0.9126,0.9143,0.9131390302476937,0.9146426842076639,0.9553816318511963,0.9873437881469727
0.001,1046,0.9999900222044492,3.325931850271616e-06,3.3259318502716163e-06,3.3259318502716163e-06,9.977795550786261e-06,0.9139,0.9142,0.9144251187395109,0.9145420121439531,0.9553725719451904,0.986461877822876
0.002,2042,0.999960177493485,1.327416883832087e-05,1.3274168838320873e-05,1.3274168838320871e-05,3.9822506515019285e-05,0.9118,0.9143,0.9124906900476668,0.9146537788018005,0.9566874504089355,0.9856724739074707
0.002,2043,0.999960177493485,1.327416883832087e-05,1.3274168838320873e-05,1.3274168838320871e-05,3.9822506515019285e-05,0.9123,0.914,0.9129733569385741,0.9143515454322187,0.9552021026611328,0.9873394966125488
0.002,2044,0.999960177493485,1.327416883832087e-05,1.3274168838320873e-05,1.3274168838320871e-05,3.9822506515019285e-05,0.9118,0.9142,0.9125110396556229,0.914553514809813,0.9552783966064453,0.987393856048584
0.002,2045,0.999960177493485,1.327416883832087e-05,1.3274168838320873e-05,1.3274168838320871e-05,3.9822506515019285e-05,0.911,0.9143,0.9117069620990275,0.9146536937255249,0.9561588764190674,0.9858877658843994
0.002,2046,0.999960177493485,1.327416883832087e-05,1.3274168838320873e-05,1.3274168838320871e-05,3.9822506515019285e-05,0.9114,0.9144,0.9120319604691483,0.9147417355925995,0.9557027816772461,0.9866585731506348
0.005,3042,0.9997527666814816,8.24111061728402e-05,8.241110617284021e-05,8.241110617284022e-05,0.0002472333185183917,0.8983,0.9147,0.8999029393269711,0.9150836397788898,0.9559628963470459,1.0423212051391602
