p,seed,selected_decoder,base_logical_error,rotation_gadget_cycles,cnot_gadget_cycles,unprotected_accuracy,uniform_accuracy,final_ft_accuracy,unprotected_f1,uniform_f1,final_ft_f1
0.0,42,previous_flagged,0.013273999999999897,2,2,0.9143,0.585,0.2369,0.9146426842076639,0.5713451532889973,0.18322800298770792
0.0,43,previous_flagged,0.013273999999999897,2,2,0.9143,0.5895,0.2348,0.9146426842076639,0.5761177350925835,0.18342514681014688
0.0,44,previous_flagged,0.013273999999999897,2,2,0.9143,0.5951,0.2369,0.9146426842076639,0.582981904383703,0.18491679383467668
0.0,45,previous_flagged,0.013273999999999897,2,2,0.9143,0.5893,0.2345,0.9146426842076639,0.5715639664066364,0.18046727238642385
0.0,46,previous_flagged,0.013273999999999897,2,2,0.9143,0.5863,0.233,0.9146426842076639,0.5714888626054918,0.1816837280462235
0.001,10042,previous_flagged,0.014274000000000009,2,2,0.9137,0.5418,0.2107,0.9142079546640618,0.5224834341531809,0.1587178816052282
0.001,10043,previous_flagged,0.014274000000000009,2,2,0.9128,0.542,0.2074,0.9133141542267531,0.5238900268367414,0.1559993470453494
0.001,10044,previous_flagged,0.014274000000000009,2,2,0.9136,0.5464,0.2143,0.9140572869102673,0.5268378499507432,0.1606242975391335
0.001,10045,previous_flagged,0.014274000000000009,2,2,0.9128,0.5439,0.2098,0.9133245690452296,0.5233780456092284,0.15601898922797597
0.001,10046,previous_flagged,0.014274000000000009,2,2,0.9132,0.5427,0.2116,0.9137061084979898,0.52430634998583,0.15835872477024873
0.002,20042,previous_flagged,0.014294000000000029,2,2,0.9121,0.5359,0.2116,0.912817843781428,0.5142920752002965,0.1586544649071457
0.002,20043,previous_flagged,0.014294000000000029,2,2,0.911,0.5428,0.2095,0.911722976288797,0.5223983098485243,0.15707562156189875
0.002,20044,previous_flagged,0.014294000000000029,2,2,0.9105,0.5432,0.2071,0.9111894256500875,0.5243596505149162,0.1550519769971265
0.002,20045,previous_flagged,0.014294000000000029,2,2,0.9121,0.5443,0.2049,0.9128590462221162,0.5228764597728089,0.15127081620987085
0.002,20046,previous_flagged,0.014294000000000029,2,2,0.9117,0.5386,0.2103,0.9123247487026583,0.5173671881518948,0.15827789570634296
0.005,30042,previous_flagged,0.016382000000000008,2,2,0.8956,0.4577,0.1809,0.8972605471375852,0.42415592621688525,0.12934619642799017
0.005,30043,previous_flagged,0.016382000000000008,2,2,0.8966,0.4566,0.1822,0.8983611067246852,0.42347258840502694,0.13075271342805977
0.005,30044,previous_flagged,0.016382000000000008,2,2,0.8957,0.4505,0.1788,0.8975796358636527,0.41876752156028274,0.12816437628321894
0.005,30045,previous_flagged,0.016382000000000008,2,2,0.8924,0.4497,0.1829,0.8942519418624778,0.41541256092220424,0.12971672402618406
0.005,30046,previous_flagged,0.016382000000000008,2,2,0.8991,0.4532,0.1762,0.9008692115092268,0.4223330808969695,0.12573652271838692
0.01,40042,previous_flagged,0.019847999999999977,2,2,0.7488,0.3472,0.1531,0.7488250801444367,0.29841433825325875,0.10358950961644171
0.01,40043,previous_flagged,0.019847999999999977,2,2,0.7501,0.3472,0.1501,0.7500639869497845,0.29938444750407645,0.09883248245386958
0.01,40044,previous_flagged,0.019847999999999977,2,2,0.7472,0.3547,0.1458,0.7473763304232142,0.3063551299649826,0.09435414703107457
0.01,40045,previous_flagged,0.019847999999999977,2,2,0.7456,0.3415,0.1537,0.7439124269957583,0.2905412267571813,0.10301776158427367
0.01,40046,previous_flagged,0.019847999999999977,2,2,0.7499,0.3482,0.1503,0.7502528714925771,0.29919268781834923,0.10122504304640204
0.02,50042,previous_flagged,0.027324000000000015,2,2,0.3415,0.2183,0.1231,0.29178372378958106,0.16535704922769906,0.07446708985238762
0.02,50043,previous_flagged,0.027324000000000015,2,2,0.3462,0.2251,0.1264,0.3012767570044535,0.1687553802217467,0.07691454156249007
0.02,50044,previous_flagged,0.027324000000000015,2,2,0.344,0.2174,0.1227,0.29762991223997504,0.16465165074325577,0.07557296687140269
0.02,50045,previous_flagged,0.027324000000000015,2,2,0.3418,0.2163,0.1273,0.2979295243498271,0.16389206766964282,0.07907011596901695
0.02,50046,previous_flagged,0.027324000000000015,2,2,0.336,0.2181,0.1301,0.29014020879573965,0.1667545424547671,0.08125922458223775
0.05,60042,previous_flagged,0.056772000000000045,2,2,0.1278,0.1252,0.1234,0.07856513684232411,0.0781508542012323,0.07352512376023919
0.05,60043,previous_flagged,0.056772000000000045,2,2,0.1315,0.1223,0.1166,0.0814809567013964,0.07396486015487176,0.06784558946900117
0.05,60044,previous_flagged,0.056772000000000045,2,2,0.1303,0.1217,0.1163,0.08139845914058971,0.07513016219933406,0.06778584237873653
0.05,60045,previous_flagged,0.056772000000000045,2,2,0.1285,0.1245,0.1156,0.08030475738048141,0.07543294755449678,0.06751068251400436
0.05,60046,previous_flagged,0.056772000000000045,2,2,0.1313,0.1264,0.1185,0.08459009193030298,0.07680290839220974,0.07156345063386235
