p,mode,class_index,class_name,recall,overall_accuracy,macro_f1
0.01,unprotected,0,airplane,0.456,0.745,0.744975142278639
0.01,unprotected,1,automobile,0.781,0.745,0.744975142278639
0.01,unprotected,2,bird,0.872,0.745,0.744975142278639
0.01,unprotected,3,cat,0.906,0.745,0.744975142278639
0.01,unprotected,4,deer,0.952,0.745,0.744975142278639
0.01,unprotected,5,dog,0.641,0.745,0.744975142278639
0.01,unprotected,6,frog,0.404,0.745,0.744975142278639
0.01,unprotected,7,horse,0.758,0.745,0.744975142278639
0.01,unprotected,8,ship,0.786,0.745,0.744975142278639
0.01,unprotected,9,truck,0.894,0.745,0.744975142278639
0.01,final_ft,0,airplane,0.0,0.149,0.09952896091734606
0.01,final_ft,1,automobile,0.007,0.149,0.09952896091734606
0.01,final_ft,2,bird,0.3,0.149,0.09952896091734606
0.01,final_ft,3,cat,0.718,0.149,0.09952896091734606
0.01,final_ft,4,deer,0.209,0.149,0.09952896091734606
0.01,final_ft,5,dog,0.017,0.149,0.09952896091734606
0.01,final_ft,6,frog,0.0,0.149,0.09952896091734606
0.01,final_ft,7,horse,0.002,0.149,0.09952896091734606
0.01,final_ft,8,ship,0.12,0.149,0.09952896091734606
0.01,final_ft,9,truck,0.117,0.149,0.09952896091734606
