p,seed,ideal_code_logical_error,naive_qec_logical_error,flagged_ftec_logical_error,flagged_logical_X,flagged_logical_Y,flagged_logical_Z,flag_trigger_rate,syndrome_trigger_rate,no_trigger_rate,unprotected_accuracy,ideal_code_accuracy,naive_qec_accuracy,flagged_ftec_accuracy,unprotected_f1,ideal_code_f1,naive_qec_f1,flagged_ftec_f1
0.0,42,0.0,0.03909399999999996,0.013274000000000008,0.004454,0.004276,0.004544,0.078796,0.099564,0.82164,0.9143,0.9143,0.1493,0.594,0.9146426842076639,0.9146426842076639,0.10074138947411611,0.5788997622489255
0.0,43,0.0,0.03909399999999996,0.013274000000000008,0.004454,0.004276,0.004544,0.078796,0.099564,0.82164,0.9143,0.9143,0.1532,0.5917,0.9146426842076639,0.9146426842076639,0.1050138600770983,0.5774393233985822
0.0,44,0.0,0.03909399999999996,0.013274000000000008,0.004454,0.004276,0.004544,0.078796,0.099564,0.82164,0.9143,0.9143,0.1552,0.5891,0.9146426842076639,0.9146426842076639,0.1060035620902456,0.575439828486705
0.0,45,0.0,0.03909399999999996,0.013274000000000008,0.004454,0.004276,0.004544,0.078796,0.099564,0.82164,0.9143,0.9143,0.1486,0.589,0.9146426842076639,0.9146426842076639,0.09952700921115418,0.5729320132043798
0.0,46,0.0,0.03909399999999996,0.013274000000000008,0.004454,0.004276,0.004544,0.078796,0.099564,0.82164,0.9143,0.9143,0.1487,0.5965,0.9146426842076639,0.9146426842076639,0.09924545547302425,0.581980423350513
0.001,1042,9.977795550786261e-06,0.039524000000000004,0.014274000000000009,0.004784,0.00472,0.00477,0.078434,0.104122,0.817444,0.9136,0.9143,0.1507,0.5428,0.9141309909062219,0.9146467371902443,0.10224052993462607,0.5257268091425604
0.001,1043,9.977795550786261e-06,0.039524000000000004,0.014274000000000009,0.004784,0.00472,0.00477,0.078434,0.104122,0.817444,0.9133,0.9143,0.1435,0.5418,0.9138283441276487,0.9146426842076639,0.09512281706844201,0.5226521445651064
0.001,1044,9.977795550786261e-06,0.039524000000000004,0.014274000000000009,0.004784,0.00472,0.00477,0.078434,0.104122,0.817444,0.9133,0.9143,0.1504,0.5386,0.9137757567366164,0.9146426842076639,0.0998842888493247,0.5181654196862491
0.001,1045,9.977795550786261e-06,0.039524000000000004,0.014274000000000009,0.004784,0.00472,0.00477,0.078434,0.104122,0.817444,0.9126,0.9143,0.1477,0.5471,0.9131390302476937,0.9146426842076639,0.10133721892187811,0.5287050706540849
0.001,1046,9.977795550786261e-06,0.039524000000000004,0.014274000000000009,0.004784,0.00472,0.00477,0.078434,0.104122,0.817444,0.9139,0.9142,0.1495,0.5377,0.9144251187395109,0.9145420121439531,0.10220138766920543,0.5143163292872207
0.002,2042,3.9822506515019285e-05,0.03922800000000004,0.014294000000000029,0.00469,0.00465,0.004954,0.078254,0.108278,0.813468,0.9118,0.9143,0.1508,0.5476,0.9124906900476668,0.9146537788018005,0.10336661085317103,0.526692381560943
0.002,2043,3.9822506515019285e-05,0.03922800000000004,0.014294000000000029,0.00469,0.00465,0.004954,0.078254,0.108278,0.813468,0.9123,0.914,0.1503,0.5481,0.9129733569385741,0.9143515454322187,0.10227859284896408,0.5309658989594985
0.002,2044,3.9822506515019285e-05,0.03922800000000004,0.014294000000000029,0.00469,0.00465,0.004954,0.078254,0.108278,0.813468,0.9118,0.9142,0.1542,0.5464,0.9125110396556229,0.914553514809813,0.1049708888862296,0.5261805055379087
0.002,2045,3.9822506515019285e-05,0.03922800000000004,0.014294000000000029,0.00469,0.00465,0.004954,0.078254,0.108278,0.813468,0.911,0.9143,0.1476,0.5519,0.9117069620990275,0.9146536937255249,0.09643492218847628,0.5331930576985828
0.002,2046,3.9822506515019285e-05,0.03922800000000004,0.014294000000000029,0.00469,0.00465,0.004954,0.078254,0.108278,0.813468,0.9114,0.9144,0.1527,0.5535,0.9120319604691483,0.9147417355925995,0.10185080454536188,0.5346120159384282
0.005,3042,0.0002472333185183917,0.040243999999999946,0.016382000000000008,0.005622,0.005338,0.005422,0.077694,0.121906,0.8004,0.8983,0.9147,0.1513,0.4582,0.8999029393269711,0.9150836397788898,0.10258812834541806,0.42411217282029695
0.005,3043,0.0002472333185183917,0.040243999999999946,0.016382000000000008,0.005622,0.005338,0.005422,0.077694,0.121906,0.8004,0.8982,0.9134,0.1501,0.4554,0.8998297933134332,0.9137788971971634,0.1007562992854858,0.4226444080751265
0.005,3044,0.0002472333185183917,0.040243999999999946,0.016382000000000008,0.005622,0.005338,0.005422,0.077694,0.121906,0.8004,0.8979,0.9148,0.1486,0.4529,0.8995984516422084,0.9151799380862322,0.09895642015671655,0.417290488744232
0.005,3045,0.0002472333185183917,0.040243999999999946,0.016382000000000008,0.005622,0.005338,0.005422,0.077694,0.121906,0.8004,0.8968,0.9136,0.1421,0.4565,0.8984294690055366,0.9139760621800755,0.09502684167260408,0.4243193893632927
0.005,3046,0.0002472333185183917,0.040243999999999946,0.016382000000000008,0.005622,0.005338,0.005422,0.077694,0.121906,0.8004,0.8959,0.914,0.1446,0.4533,0.8976274880354321,0.9144182988795728,0.09750693540439623,0.42081912538527444
0.01,4042,0.000977955081481463,0.04208599999999996,0.019847999999999977,0.00674,0.00647,0.006638,0.076352,0.141628,0.78202,0.7543,0.9129,0.1415,0.35,0.7554261610528727,0.913387207086884,0.09172576365051732,0.3055162248104237
