p,seed,history_base_pL,rotation_gadget_cycles,cnot_gadget_cycles,unprotected_accuracy,uniform_history_accuracy,gate_aware_ft_accuracy,unprotected_f1,uniform_history_f1,gate_aware_ft_f1
0.0,42,0.05371999999999999,2,2,0.9143,0.1331,0.1189,0.9146426842076639,0.0831544563778414,0.07043820587283922
0.0,43,0.05371999999999999,2,2,0.9143,0.124,0.11,0.9146426842076639,0.07660289778804946,0.06204147284082249
0.0,44,0.05371999999999999,2,2,0.9143,0.1211,0.1172,0.9146426842076639,0.07371502016952225,0.06924141034131961
0.0,45,0.05371999999999999,2,2,0.9143,0.1267,0.1194,0.9146426842076639,0.07972681108339572,0.06965852478395881
0.0,46,0.05371999999999999,2,2,0.9143,0.1266,0.1184,0.9146426842076639,0.07500304919058101,0.07090790976567012
0.001,10042,0.053776666666666695,2,2,0.9137,0.1284,0.1134,0.9142079546640618,0.07968113147684401,0.06694048416116428
0.001,10043,0.053776666666666695,2,2,0.9128,0.1308,0.1157,0.9133141542267531,0.08338777893634541,0.06629547115992243
0.001,10044,0.053776666666666695,2,2,0.9136,0.13,0.1185,0.9140572869102673,0.08150210607593564,0.07126558749956895
0.001,10045,0.053776666666666695,2,2,0.9128,0.13,0.1171,0.9133245690452296,0.08184906813129378,0.06763313674460417
0.001,10046,0.053776666666666695,2,2,0.9132,0.123,0.1159,0.9137061084979898,0.07590609597847245,0.06718189810599628
0.002,20042,0.05406,2,2,0.9121,0.1272,0.1183,0.912817843781428,0.07900902132322271,0.06889157508202133
0.002,20043,0.05406,2,2,0.911,0.1233,0.1162,0.911722976288797,0.07703336886269554,0.06762505073022065
0.002,20044,0.05406,2,2,0.9105,0.128,0.1131,0.9111894256500875,0.08118203816515332,0.06436709574917275
0.002,20045,0.05406,2,2,0.9121,0.1262,0.1172,0.9128590462221162,0.0786628407874054,0.06877045203349963
0.002,20046,0.05406,2,2,0.9117,0.1239,0.1176,0.9123247487026583,0.07722096011535011,0.06816044528740588
0.005,30042,0.055976666666666675,2,2,0.8956,0.1243,0.1204,0.8972605471375852,0.07541474533042895,0.07334941851797386
0.005,30043,0.055976666666666675,2,2,0.8966,0.1221,0.1187,0.8983611067246852,0.07669573633074914,0.07026046544943707
0.005,30044,0.055976666666666675,2,2,0.8957,0.1275,0.1168,0.8975796358636527,0.0810642532661253,0.0681456130714508
0.005,30045,0.055976666666666675,2,2,0.8924,0.126,0.1163,0.8942519418624778,0.07745124684376695,0.06785270973549544
0.005,30046,0.055976666666666675,2,2,0.8991,0.12,0.1202,0.9008692115092268,0.0740863580432494,0.06891474952510375
0.01,40042,0.06015000000000004,2,2,0.7488,0.1167,0.1197,0.7488250801444367,0.0692126715173085,0.07187762946073159
0.01,40043,0.06015000000000004,2,2,0.7501,0.1227,0.1178,0.7500639869497845,0.07407748677597567,0.06734778617305101
0.01,40044,0.06015000000000004,2,2,0.7472,0.1207,0.1173,0.7473763304232142,0.07510085718302818,0.07114958404101362
0.01,40045,0.06015000000000004,2,2,0.7456,0.121,0.1159,0.7439124269957583,0.07173376619479947,0.06923371832415047
0.01,40046,0.06015000000000004,2,2,0.7499,0.1228,0.1179,0.7502528714925771,0.07676842031356913,0.06849210608841251
0.02,50042,0.0660533333333333,2,2,0.3415,0.1183,0.118,0.29178372378958106,0.07193391773488175,0.06752033876291466
0.02,50043,0.0660533333333333,2,2,0.3462,0.1187,0.1169,0.3012767570044535,0.06993490414636691,0.06999401027457304
0.02,50044,0.0660533333333333,2,2,0.344,0.1204,0.1123,0.29762991223997504,0.06996795975315331,0.06364263632389862
0.02,50045,0.0660533333333333,2,2,0.3418,0.1256,0.1202,0.2979295243498271,0.0755706531089307,0.07056881491940402
0.02,50046,0.0660533333333333,2,2,0.336,0.1173,0.1166,0.29014020879573965,0.0683932650438743,0.06758790126567041
0.05,60042,0.09606999999999999,2,2,0.1278,0.1154,0.1155,0.07856513684232411,0.06652003611083958,0.06819485529650958
0.05,60043,0.09606999999999999,2,2,0.1315,0.12,0.1174,0.0814809567013964,0.07285821701406359,0.06866629018960721
0.05,60044,0.09606999999999999,2,2,0.1303,0.1151,0.1165,0.08139845914058971,0.06599590044328142,0.06651132871544632
0.05,60045,0.09606999999999999,2,2,0.1285,0.122,0.116,0.08030475738048141,0.07323414577803922,0.06593186670951234
0.05,60046,0.09606999999999999,2,2,0.1313,0.1212,0.1186,0.08459009193030298,0.07219959042084015,0.06800314825511014
