p,rotation_cycles,cnot_cycles,accuracy,macro_f1,seconds
0.0,1,2,0.1185,0.0688414122722821,0.9571278095245361
0.0,2,2,0.1118,0.06771344134335838,0.957871675491333
0.0,3,2,0.1138,0.06502177336829443,0.9575660228729248
0.001,1,2,0.1231,0.07341258100961566,1.0151963233947754
0.001,2,2,0.1133,0.06644431386996809,0.9577558040618896
0.001,3,2,0.1141,0.06439315992997234,0.9568464756011963
0.002,1,2,0.1161,0.070227440091826,0.9584527015686035
0.002,2,2,0.1199,0.07071251631115183,0.9572494029998779
0.002,3,2,0.1179,0.06956914485476982,0.9571442604064941
0.005,1,2,0.1236,0.07430959111348082,0.9583232402801514
0.005,2,2,0.1181,0.06975961303913812,0.957482099533081
0.005,3,2,0.1177,0.06909917470069497,0.957512378692627
0.01,1,2,0.114,0.06629913332625871,0.9587376117706299
0.01,2,2,0.1152,0.06589544446174209,0.9570701122283936
0.01,3,2,0.1148,0.0666790547505656,0.9578635692596436
0.02,1,2,0.1183,0.07100370249952744,0.9573013782501221
0.02,2,2,0.1178,0.07119824301005258,0.957331657409668
0.02,3,2,0.119,0.0718369454440666,0.9577655792236328
0.05,1,2,0.114,0.06666074544458603,0.9579219818115234
0.05,2,2,0.1169,0.06902002268936429,0.957719087600708
0.05,3,2,0.1196,0.069360520251403,0.9574732780456543
