logical_x_error_probability,accuracy
0.0,0.9143
0.001,0.9131
0.002,0.91195
0.003,0.9077999999999999
0.004,0.90195
0.005,0.8908
0.006,0.86585
0.007,0.83645
0.008,0.79565
0.009000000000000001,0.7517499999999999
0.01,0.70845
0.0125,0.5986
0.015000000000000001,0.5071
0.0175,0.42785
0.02,0.37565000000000004
0.0225,0.3338
0.025,0.30479999999999996
0.0275,0.2792
0.030000000000000002,0.26405
0.0325,0.24719999999999998
0.035,0.2359
0.037500000000000006,0.23125
0.04,0.21895
0.042499999999999996,0.2111
0.045,0.20505
0.0475,0.20525
0.05,0.1977
0.052500000000000005,0.19469999999999998
0.05500000000000001,0.1894
0.057499999999999996,0.1846
0.06,0.1804
0.0625,0.17245
0.065,0.1704
0.0675,0.1638
0.07,0.1626
0.0725,0.16754999999999998
0.075,0.1598
0.0775,0.15965000000000001
0.08,0.1562
