p,seed,ideal_code_logical_error,qec1_logical_error,qec3_logical_error,qec1_logical_X,qec1_logical_Y,qec1_logical_Z,qec3_logical_X,qec3_logical_Y,qec3_logical_Z,unprotected_accuracy,ideal_code_accuracy,qec1_accuracy,qec3_accuracy,unprotected_f1,ideal_code_f1,qec1_f1,qec3_f1
0.0,42,0.0,0.03906399999999999,0.06973799999999997,0.013216,0.012638,0.01321,0.024436,0.02267,0.022632,0.9143,0.9143,0.1505,0.1213,0.9146426842076639,0.9146426842076639,0.10148653190604431,0.07287215556493087
0.0,43,0.0,0.03906399999999999,0.06973799999999997,0.013216,0.012638,0.01321,0.024436,0.02267,0.022632,0.9143,0.9143,0.1503,0.1206,0.9146426842076639,0.9146426842076639,0.10201724223670383,0.06952307201368915
0.0,44,0.0,0.03906399999999999,0.06973799999999997,0.013216,0.012638,0.01321,0.024436,0.02267,0.022632,0.9143,0.9143,0.1549,0.1256,0.9146426842076639,0.9146426842076639,0.10511770870792429,0.0757291938728513
0.0,45,0.0,0.03906399999999999,0.06973799999999997,0.013216,0.012638,0.01321,0.024436,0.02267,0.022632,0.9143,0.9143,0.1491,0.1212,0.9146426842076639,0.9146426842076639,0.10081277036211993,0.07083035612704433
0.0,46,0.0,0.03906399999999999,0.06973799999999997,0.013216,0.012638,0.01321,0.024436,0.02267,0.022632,0.9143,0.9143,0.1497,0.1236,0.9146426842076639,0.9146426842076639,0.10014648233571752,0.07572982490469318
0.001,1042,9.977795550786261e-06,0.038868000000000014,0.06972199999999995,0.013282,0.012828,0.012758,0.024468,0.022742,0.022512,0.9136,0.9143,0.1498,0.1204,0.9141309909062219,0.9146467371902443,0.1013850266804153,0.07156963444461867
0.001,1043,9.977795550786261e-06,0.038868000000000014,0.06972199999999995,0.013282,0.012828,0.012758,0.024468,0.022742,0.022512,0.9133,0.9143,0.1455,0.113,0.9138283441276487,0.9146426842076639,0.0981052010344158,0.06686587372557633
0.001,1044,9.977795550786261e-06,0.038868000000000014,0.06972199999999995,0.013282,0.012828,0.012758,0.024468,0.022742,0.022512,0.9133,0.9143,0.1507,0.1202,0.9137757567366164,0.9146426842076639,0.09833108501981598,0.07337966875045798
0.001,1045,9.977795550786261e-06,0.038868000000000014,0.06972199999999995,0.013282,0.012828,0.012758,0.024468,0.022742,0.022512,0.9126,0.9143,0.1493,0.1176,0.9131390302476937,0.9146426842076639,0.10161260214878987,0.07247612563099508
0.001,1046,9.977795550786261e-06,0.038868000000000014,0.06972199999999995,0.013282,0.012828,0.012758,0.024468,0.022742,0.022512,0.9139,0.9142,0.1516,0.12,0.9144251187395109,0.9145420121439531,0.10364758265126968,0.07179372918340436
0.002,2042,3.9822506515019285e-05,0.039358000000000004,0.07037800000000005,0.013686,0.012918,0.012754,0.024678,0.022782,0.022918,0.9118,0.9143,0.1519,0.1175,0.9124906900476668,0.9146537788018005,0.10419923456769598,0.06969813965641679
0.002,2043,3.9822506515019285e-05,0.039358000000000004,0.07037800000000005,0.013686,0.012918,0.012754,0.024678,0.022782,0.022918,0.9123,0.914,0.1521,0.1169,0.9129733569385741,0.9143515454322187,0.10309862179036369,0.06841307143071912
0.002,2044,3.9822506515019285e-05,0.039358000000000004,0.07037800000000005,0.013686,0.012918,0.012754,0.024678,0.022782,0.022918,0.9118,0.9142,0.156,0.1196,0.9125110396556229,0.914553514809813,0.10623650406959077,0.07288885910302512
0.002,2045,3.9822506515019285e-05,0.039358000000000004,0.07037800000000005,0.013686,0.012918,0.012754,0.024678,0.022782,0.022918,0.911,0.9143,0.1478,0.1201,0.9117069620990275,0.9146536937255249,0.09791062412840659,0.07324797763662809
0.002,2046,3.9822506515019285e-05,0.039358000000000004,0.07037800000000005,0.013686,0.012918,0.012754,0.024678,0.022782,0.022918,0.9114,0.9144,0.1537,0.1216,0.9120319604691483,0.9147417355925995,0.10392734735197048,0.07236640486956697
0.005,3042,0.0002472333185183917,0.04017599999999999,0.07082,0.013722,0.013142,0.013312,0.024592,0.022926,0.023302,0.8983,0.9147,0.1526,0.1226,0.8999029393269711,0.9150836397788898,0.10361519619192161,0.07533132235864573
0.005,3043,0.0002472333185183917,0.04017599999999999,0.07082,0.013722,0.013142,0.013312,0.024592,0.022926,0.023302,0.8982,0.9134,0.1513,0.1186,0.8998297933134332,0.9137788971971634,0.10188898734867666,0.0714866637244608
0.005,3044,0.0002472333185183917,0.04017599999999999,0.07082,0.013722,0.013142,0.013312,0.024592,0.022926,0.023302,0.8979,0.9148,0.1493,0.1205,0.8995984516422084,0.9151799380862322,0.09970515964862438,0.07199443606215167
