p_data,p_syndrome,seed,effective_qec1,effective_qec3,unprotected_accuracy,qec1_accuracy,qec3_accuracy,unprotected_macro_f1,qec1_macro_f1,qec3_macro_f1,unprotected_seconds,qec1_seconds,qec3_seconds
0.0,0.01,42,0.0,0.0,0.9143,0.9143,0.9143,0.9146426842076639,0.9146426842076639,0.9146426842076639,0.0,0.0,0.0
0.0,0.01,43,0.0,0.0,0.9143,0.9143,0.9143,0.9146426842076639,0.9146426842076639,0.9146426842076639,0.0,0.0,0.0
0.0,0.01,44,0.0,0.0,0.9143,0.9143,0.9143,0.9146426842076639,0.9146426842076639,0.9146426842076639,0.0,0.0,0.0
0.0,0.01,45,0.0,0.0,0.9143,0.9143,0.9143,0.9146426842076639,0.9146426842076639,0.9146426842076639,0.0,0.0,0.0
0.0,0.01,46,0.0,0.0,0.9143,0.9143,0.9143,0.9146426842076639,0.9146426842076639,0.9146426842076639,0.0,0.0,0.0
0.001,0.01,1042,6.600000051548705e-05,3.999999989900971e-06,0.9131,0.9146,0.9143,0.9135790885114601,0.9149394183102618,0.9146426842076639,0.626331090927124,0.6344130039215088,0.6930313110351562
0.001,0.01,1043,6.600000051548705e-05,3.999999989900971e-06,0.9131,0.9141,0.9142,0.9135999557774642,0.9144616669715054,0.9145469310721189,0.6255574226379395,0.6345460414886475,0.63547682762146
0.001,0.01,1044,6.600000051548705e-05,3.999999989900971e-06,0.9132,0.9145,0.9143,0.9137232680053714,0.9148502859689323,0.9146426842076639,0.6243331432342529,0.6343185901641846,0.6356246471405029
0.001,0.01,1045,6.600000051548705e-05,3.999999989900971e-06,0.9128,0.9143,0.9142,0.913295006722777,0.9146509430295969,0.9145422521658183,0.624284029006958,0.6347286701202393,0.6353671550750732
0.001,0.01,1046,6.600000051548705e-05,3.999999989900971e-06,0.9125,0.9144,0.9143,0.9130369551825744,0.9147477057518281,0.9146382862795004,0.6243581771850586,0.634972095489502,0.6351866722106934
0.002,0.01,2042,9.7999996796716e-05,1.9999999494757503e-05,0.9114,0.914,0.9143,0.9121193925881546,0.9143600605856175,0.9146426842076639,0.6248834133148193,0.6343045234680176,0.6358082294464111
0.002,0.01,2043,9.7999996796716e-05,1.9999999494757503e-05,0.9098,0.9148,0.9143,0.9105698830999158,0.9151357219151413,0.9146496052197399,0.6249303817749023,0.6345570087432861,0.6354150772094727
0.002,0.01,2044,9.7999996796716e-05,1.9999999494757503e-05,0.9122,0.9145,0.9143,0.912923384526863,0.9148668032788976,0.9146487603314597,0.6805436611175537,0.634920597076416,0.6350765228271484
0.002,0.01,2045,9.7999996796716e-05,1.9999999494757503e-05,0.9105,0.9144,0.9143,0.9112204483487123,0.9147537480972993,0.9146426842076639,0.6241793632507324,0.6341254711151123,0.6357135772705078
0.002,0.01,2046,9.7999996796716e-05,1.9999999494757503e-05,0.9093,0.9144,0.9144,0.9100096688991078,0.9147627885033,0.9147395659981308,0.6248552799224854,0.6348154544830322,0.6353380680084229
0.005,0.01,3042,0.00027799999224953353,8.399999933317304e-05,0.8883,0.9139,0.9145,0.8900273080284145,0.9142652927126793,0.9148602290282171,0.6244971752166748,0.6342508792877197,0.635155200958252
0.005,0.01,3043,0.00027799999224953353,8.399999933317304e-05,0.8883,0.9146,0.9145,0.8899350314534159,0.9149650840004027,0.9148624237966573,0.6242263317108154,0.635256290435791,0.6351544857025146
0.005,0.01,3044,0.00027799999224953353,8.399999933317304e-05,0.8887,0.914,0.9141,0.8903143710631098,0.914383330120075,0.9144596263506543,0.6246576309204102,0.6342637538909912,0.6354382038116455
0.005,0.01,3045,0.00027799999224953353,8.399999933317304e-05,0.889,0.9144,0.9144,0.8907700585644045,0.9147784947900615,0.9147537837691873,0.6242589950561523,0.6341156959533691,0.6358191967010498
0.005,0.01,3046,0.00027799999224953353,8.399999933317304e-05,0.8892,0.9143,0.9143,0.8908747340583455,0.9146808164193907,0.9146490597691506,0.6805264949798584,0.6341426372528076,0.635129451751709
0.01,0.01,4042,0.0006440000142902136,0.00033599999733269215,0.7077,0.9133,0.9145,0.6951110694322848,0.9137692284851419,0.9149080268727326,0.6246109008789062,0.6346802711486816,0.6352713108062744
0.01,0.01,4043,0.0006440000142902136,0.00033599999733269215,0.7093,0.9135,0.9136,0.6973774412513288,0.9139669002710933,0.9140209117194971,0.6241455078125,0.6380760669708252,0.6357858180999756
0.01,0.01,4044,0.0006440000142902136,0.00033599999733269215,0.706,0.9136,0.9146,0.6941928175517251,0.9141024214803316,0.9149831109499488,0.6240823268890381,0.6339633464813232,0.6350126266479492
0.01,0.01,4045,0.0006440000142902136,0.00033599999733269215,0.7043,0.9144,0.9139,0.6914906193240258,0.9148775479565421,0.9142884963735606,0.6240401268005371,0.6346423625946045,0.6347975730895996
0.01,0.01,4046,0.0006440000142902136,0.00033599999733269215,0.71,0.9147,0.9137,0.6972383551021958,0.9151193845635452,0.914113230690992,0.624934196472168,0.6342711448669434,0.6352882385253906
0.02,0.01,5042,0.0019399999873712659,0.001297999988310039,0.3784,0.9119,0.9127,0.321948015593727,0.9126357287802234,0.9132739206732081,0.6243948936462402,0.6341662406921387,0.6352710723876953
0.02,0.01,5043,0.0019399999873712659,0.001297999988310039,0.3741,0.911,0.9113,0.3137880058395298,0.9116862220055403,0.911899659734185,0.679917573928833,0.6346640586853027,0.6357390880584717
0.02,0.01,5044,0.0019399999873712659,0.001297999988310039,0.3727,0.9115,0.9125,0.3150821608487406,0.9122542017875892,0.91306162898914,0.624439001083374,0.6341593265533447,0.6350598335266113
0.02,0.01,5045,0.0019399999873712659,0.001297999988310039,0.375,0.9104,0.9119,0.3189294106619865,0.9111180497198295,0.9124251931704442,0.6248717308044434,0.6339600086212158,0.6351184844970703
0.02,0.01,5046,0.0019399999873712659,0.001297999988310039,0.3781,0.9125,0.9128,0.319518625312657,0.913239749287615,0.9133059603190465,0.6241590976715088,0.635810136795044,0.6357157230377197
0.05,0.01,6042,0.009088000282645226,0.007431999780237675,0.2036,0.7575,0.8199,0.14060438671043382,0.7517416856174923,0.8191387984273734,0.6242344379425049,0.6340951919555664,0.6354899406433105
0.05,0.01,6043,0.009088000282645226,0.007431999780237675,0.1937,0.7585,0.8223,0.13026189099857363,0.7535811772055381,0.8227766278849321,0.6246218681335449,0.6338658332824707,0.6350102424621582
0.05,0.01,6044,0.009088000282645226,0.007431999780237675,0.1994,0.7549,0.8236,0.1350513826307031,0.7496418013364646,0.8238351479416355,0.6247491836547852,0.69085693359375,0.6353781223297119
0.05,0.01,6045,0.009088000282645226,0.007431999780237675,0.1963,0.752,0.8227,0.1326152565002509,0.7449295518832072,0.822578267436955,0.6240770816802979,0.6340177059173584,0.6350202560424805
0.05,0.01,6046,0.009088000282645226,0.007431999780237675,0.1943,0.754,0.823,0.12958559067948186,0.7469198589110881,0.8229653125072863,0.6241874694824219,0.6352672576904297,0.6352519989013672
