physical_p,logical_p,seed,unprotected_accuracy,protected_accuracy,unprotected_macro_f1,protected_macro_f1,unprotected_seconds,protected_seconds
0.0,0.0,42,0.9143,0.9143,0.9146426842076639,0.9146426842076639,0.0,0.0
0.0,0.0,43,0.9143,0.9143,0.9146426842076639,0.9146426842076639,0.0,0.0
0.0,0.0,44,0.9143,0.9143,0.9146426842076639,0.9146426842076639,0.0,0.0
0.0,0.0,45,0.9143,0.9143,0.9146426842076639,0.9146426842076639,0.0,0.0
0.0,0.0,46,0.9143,0.9143,0.9146426842076639,0.9146426842076639,0.0,0.0
0.001,2.998e-06,1042,0.9131,0.9143,0.9135790885114601,0.9146418783660539,0.6334755420684814,0.6270630359649658
0.001,2.998e-06,1043,0.9131,0.9143,0.9135999557774642,0.9146426842076639,0.6837525367736816,0.6267921924591064
0.001,2.998e-06,1044,0.9132,0.9143,0.9137232680053714,0.9146418783660539,0.626772403717041,0.6272828578948975
0.001,2.998e-06,1045,0.9128,0.9143,0.913295006722777,0.9146426842076639,0.626694917678833,0.6269001960754395
0.001,2.998e-06,1046,0.9125,0.9143,0.9130369551825744,0.9146426842076639,0.6271710395812988,0.6273674964904785
0.002,1.1984e-05,2042,0.9114,0.9143,0.9121193925881546,0.9146442493843383,0.6267106533050537,0.6266369819641113
0.002,1.1984e-05,2043,0.9098,0.9143,0.9105698830999158,0.9146443357250507,0.6272408962249756,0.6266653537750244
0.002,1.1984e-05,2044,0.9122,0.9145,0.912923384526863,0.9148407388808371,0.6270196437835693,0.627518892288208
0.002,1.1984e-05,2045,0.9105,0.9143,0.9112204483487123,0.9146426842076639,0.6270263195037842,0.6269023418426514
0.002,1.1984e-05,2046,0.9093,0.9142,0.9100096688991078,0.914546167684736,0.6264803409576416,0.6271755695343018
0.005,7.475e-05,3042,0.8883,0.9141,0.8900273080284145,0.9144489608045779,0.6267518997192383,0.6824185848236084
0.005,7.475e-05,3043,0.8883,0.9144,0.8899350314534159,0.9147585273537651,0.6268007755279541,0.6278812885284424
0.005,7.475e-05,3044,0.8887,0.9145,0.8903143710631098,0.914846870256798,0.627129077911377,0.626962423324585
0.005,7.475e-05,3045,0.889,0.9143,0.8907700585644045,0.9146463168513476,0.6266748905181885,0.6265101432800293
0.005,7.475e-05,3046,0.8892,0.9144,0.8908747340583455,0.9147515925845259,0.6279656887054443,0.626492977142334
0.01,0.00029800000000000003,4042,0.7077,0.9139,0.6951110694322848,0.9142774486927706,0.626692533493042,0.6274609565734863
0.01,0.00029800000000000003,4043,0.7093,0.914,0.6973774412513288,0.9144126844560112,0.6268353462219238,0.6266663074493408
0.01,0.00029800000000000003,4044,0.706,0.915,0.6941928175517251,0.9153870857377445,0.6266565322875977,0.6264817714691162
0.01,0.00029800000000000003,4045,0.7043,0.9135,0.6914906193240258,0.9138826211555603,0.6271102428436279,0.6267096996307373
0.01,0.00029800000000000003,4046,0.71,0.9143,0.6972383551021958,0.9147173756517943,0.6271991729736328,0.6272494792938232
0.02,0.0011840000000000002,5042,0.3784,0.9119,0.321948015593727,0.9124116161976332,0.62701416015625,0.6264832019805908
0.02,0.0011840000000000002,5043,0.3741,0.9133,0.3137880058395298,0.9138489102122271,0.6826322078704834,0.6265575885772705
0.02,0.0011840000000000002,5044,0.3727,0.9129,0.3150821608487406,0.9134734262000712,0.6275322437286377,0.6267201900482178
0.02,0.0011840000000000002,5045,0.375,0.9132,0.3189294106619865,0.9137270155123887,0.6264383792877197,0.6286356449127197
0.02,0.0011840000000000002,5046,0.3781,0.9122,0.319518625312657,0.912751793250683,0.6305341720581055,0.6266403198242188
0.05,0.007250000000000001,6042,0.2036,0.8255,0.14060438671043382,0.826150937703459,0.6266593933105469,0.6266183853149414
0.05,0.007250000000000001,6043,0.1937,0.8222,0.13026189099857363,0.8224806678306326,0.627267599105835,0.6264729499816895
0.05,0.007250000000000001,6044,0.1994,0.8287,0.1350513826307031,0.829910599059825,0.6264815330505371,0.6271119117736816
0.05,0.007250000000000001,6045,0.1963,0.826,0.1326152565002509,0.8258051269834453,0.6267085075378418,0.6267518997192383
0.05,0.007250000000000001,6046,0.1943,0.824,0.12958559067948186,0.8243974311070211,0.6263437271118164,0.6268413066864014
