p,seed,ideal_logical_error,previous_flagged_logical_error,majority3_logical_error,history3_logical_error,history_coset_prediction_accuracy,temporal_syndrome_change_rate,three_round_flag_cycle_rate,unprotected_accuracy,ideal_code_accuracy,previous_flagged_accuracy,majority3_accuracy,history3_accuracy,unprotected_f1,ideal_code_f1,previous_flagged_f1,majority3_f1,history3_f1
0.0,42,0.0,0.013273999999999897,0.07679666666666662,0.05371999999999999,0.8796233534812927,0.36190667748451233,0.22508665919303894,0.9143,0.9143,0.5952,0.1263,0.129,0.9146426842076639,0.9146426842076639,0.5819469225231456,0.07792696804960281,0.07964907909772019
0.0,43,0.0,0.013273999999999897,0.07679666666666662,0.05371999999999999,0.8796233534812927,0.36190667748451233,0.22508665919303894,0.9143,0.9143,0.5968,0.1226,0.1301,0.9146426842076639,0.9146426842076639,0.5833266437296295,0.07303128354183999,0.08130896343165069
0.0,44,0.0,0.013273999999999897,0.07679666666666662,0.05371999999999999,0.8796233534812927,0.36190667748451233,0.22508665919303894,0.9143,0.9143,0.5977,0.1151,0.1263,0.9146426842076639,0.9146426842076639,0.5826087314396113,0.06704019587781854,0.07609524684788449
0.0,45,0.0,0.013273999999999897,0.07679666666666662,0.05371999999999999,0.8796233534812927,0.36190667748451233,0.22508665919303894,0.9143,0.9143,0.5947,0.1229,0.1252,0.9146426842076639,0.9146426842076639,0.5791085362127569,0.07384363931877735,0.07764013024359309
0.0,46,0.0,0.013273999999999897,0.07679666666666662,0.05371999999999999,0.8796233534812927,0.36190667748451233,0.22508665919303894,0.9143,0.9143,0.5879,0.1231,0.1259,0.9146426842076639,0.9146426842076639,0.5747452062008965,0.07357910639929544,0.07955906412056077
0.001,10042,9.977795550786261e-06,0.014274000000000009,0.07681666666666664,0.053776666666666695,0.8796966671943665,0.36088332533836365,0.22437000274658203,0.9137,0.9143,0.5437,0.1218,0.1258,0.9142079546640618,0.9146338517096924,0.5218685924034198,0.07461926314244494,0.07717333116831243
0.001,10043,9.977795550786261e-06,0.014274000000000009,0.07681666666666664,0.053776666666666695,0.8796966671943665,0.36088332533836365,0.22437000274658203,0.9128,0.9144,0.5494,0.1198,0.1251,0.9133141542267531,0.9147404731637302,0.5303094112718671,0.0733308668902328,0.07731857088957805
0.001,10044,9.977795550786261e-06,0.014274000000000009,0.07681666666666664,0.053776666666666695,0.8796966671943665,0.36088332533836365,0.22437000274658203,0.9136,0.9141,0.5433,0.1129,0.1302,0.9140572869102673,0.9144420295497587,0.5237735411221126,0.06597156610154228,0.0802291820026496
0.001,10045,9.977795550786261e-06,0.014274000000000009,0.07681666666666664,0.053776666666666695,0.8796966671943665,0.36088332533836365,0.22437000274658203,0.9128,0.9143,0.5399,0.1201,0.1218,0.9133245690452296,0.9146426842076639,0.5190896117141697,0.07157116858665953,0.07329447339234309
0.001,10046,9.977795550786261e-06,0.014274000000000009,0.07681666666666664,0.053776666666666695,0.8796966671943665,0.36088332533836365,0.22437000274658203,0.9132,0.9143,0.5426,0.119,0.1253,0.9137061084979898,0.9146426842076639,0.5220345635296114,0.06964103918562389,0.07655403568108061
